"term_id","database","direction","background_size","input_size","term_size","overlap_count","expected_overlap","enrichment_ratio","p_value","overlapping_gene_keys","overlapping_gene_symbols","fdr_bh","term_name","namespace","experimental_input_size","experimental_term_size","experimental_overlap_count","experimental_enrichment_ratio","experimental_p_value","experimental_fdr_bh","experimental_supported","representative_rank","redundancy_threshold"
"GO:0070848","GO Biological Process","Lower in tumor",14764,772,419,61,21.9092386887022,2.78421358526964,2.65453536481845e-13,"ACVRL1;ANXA1;BDNF;BMP2;BMP5;BMP6;BMPER;BMPR2;CAT;CCL2;CDH5;CDKN2B;CFLAR;CLDN5;EDN1;EGR3;FERMT2;FEZ1;FGF2;FGF7;FGFR4;FLRT3;FOS;FYN;GATA6;GDF10;GRIA1;HPGD;HYAL1;ID1;KDR;KL;KLF4;LRRC32;MYC;NDNF;NFKBIZ;NOS1;NR4A1;NTRK2;P2RY1;PDE2A;PPARG;RAMP2;RAP1A;RDX;RGCC;SCGB1A1;SEMA6A;SH3GL2;SMAD6;SMAD9;SNCA;SOSTDC1;SOX5;TBX2;TGFBR2;TGFBR3;TLR4;TMEM100;ZFP36","ACVRL1;ANXA1;BDNF;BMP2;BMP5;BMP6;BMPER;BMPR2;CAT;CCL2;CDH5;CDKN2B;CFLAR;CLDN5;EDN1;EGR3;FERMT2;FEZ1;FGF2;FGF7;FGFR4;FLRT3;FOS;FYN;GATA6;GDF10;GRIA1;HPGD;HYAL1;ID1;KDR;KL;KLF4;LRRC32;MYC;NDNF;NFKBIZ;NOS1;NR4A1;NTRK2;P2RY1;PDE2A;PPARG;RAMP2;RAP1A;RDX;RGCC;SCGB1A1;SEMA6A;SH3GL2;SMAD6;SMAD9;SNCA;SOSTDC1;SOX5;TBX2;TGFBR2;TGFBR3;TLR4;TMEM100;ZFP36",4.53356718377208e-11,"response to growth factor","biological_process",534,216,35,2.9442797197947,6.51978120086453e-09,3.49811337507924e-07,TRUE,6,0.5
"GO:0050678","GO Biological Process","Lower in tumor",14764,772,248,44,12.9677594147927,3.39303025238175,7.17305474562176e-13,"ACVRL1;AGTR1;AKT3;ALOX5;AREG;ATOH8;BMP5;BMP6;C5AR1;CAV1;CAV2;CCL2;CDKN1C;CDKN2B;CFLAR;COL4A3;CXCL12;EDNRB;EGR3;FGF2;FGF7;GATA2;GATA6;JUND;KDR;KLF9;KRT4;MCC;MMRN2;MYC;NR4A1;NR4A3;OSR1;PPARG;PPP1R16B;PTPRM;RGCC;SEMA5A;TEK;TGFBR3;TIE1;TINCR;TNFAIP3;ZFP36","ACVRL1;AGTR1;AKT3;ALOX5;AREG;ATOH8;BMP5;BMP6;C5AR1;CAV1;CAV2;CCL2;CDKN1C;CDKN2B;CFLAR;COL4A3;CXCL12;EDNRB;EGR3;FGF2;FGF7;GATA2;GATA6;JUND;KDR;KLF9;KRT4;MCC;MMRN2;MYC;NR4A1;NR4A3;OSR1;PPARG;PPP1R16B;PTPRM;RGCC;SEMA5A;TEK;TGFBR3;TIE1;TINCR;TNFAIP3;ZFP36",1.07192336854885e-10,"regulation of epithelial cell proliferation","biological_process",534,169,27,2.90296522837577,4.82959624170441e-07,1.43346526748461e-05,TRUE,7,0.5
"GO:0032970","GO Biological Process","Lower in tumor",14764,772,338,52,17.673801137903,2.94220805101634,1.90930760921475e-12,"ADRB2;ANK2;ARAP2;ARAP3;ARHGAP6;ARHGEF10;ARHGEF15;ARHGEF26;ATP1A2;C9orf72;CAV1;CCL21;CFL2;CORO2B;CSF3;CX3CL1;CXCL12;DIXDC1;DLC1;EDN1;ESAM;FAM107A;FERMT2;GJA5;GMFG;GPM6B;KANK2;KANK3;LIMCH1;MYADM;MYOC;NEDD9;PDE4B;PDPN;PHLDB2;PLEKHH2;PPM1F;PREX1;PRKCE;PTGER4;RDX;RGCC;RND3;S100A10;S1PR1;SEMA5A;SHANK3;SLIT2;SYNPO2;TMOD1;TNNC1;WASF3","ADRB2;ANK2;ARAP2;ARAP3;ARHGAP6;ARHGEF10;ARHGEF15;ARHGEF26;ATP1A2;C9orf72;CAV1;CCL21;CFL2;CORO2B;CSF3;CX3CL1;CXCL12;DIXDC1;DLC1;EDN1;ESAM;FAM107A;FERMT2;GJA5;GMFG;GPM6B;KANK2;KANK3;LIMCH1;MYADM;MYOC;NEDD9;PDE4B;PDPN;PHLDB2;PLEKHH2;PPM1F;PREX1;PRKCE;PTGER4;RDX;RGCC;RND3;S100A10;S1PR1;SEMA5A;SHANK3;SLIT2;SYNPO2;TMOD1;TNNC1;WASF3",2.53619694090693e-10,"regulation of actin filament-based process","biological_process",534,172,28,2.95797404407282,1.9802919355777e-07,6.42443546542067e-06,TRUE,8,0.5
"GO:0072001","GO Biological Process","Lower in tumor",14764,772,208,39,10.8761853156326,3.58581606217617,2.49776979934246e-12,"ACE;AGTR1;AGTR2;ANGPT1;AQP1;ARL13B;BMP2;BMP6;BMPER;CAT;COL4A3;DLL1;EDN1;EGR1;FGF2;FOXF1;GPC3;HPGD;ID3;ITGA8;KANK2;KCNJ8;LRRK2;MME;MYC;NPNT;OSR1;PECAM1;PLCE1;PODXL;RBP4;ROBO2;SLIT2;SMAD6;SOX17;TCF21;TEK;WFS1;ZBTB16","ACE;AGTR1;AGTR2;ANGPT1;AQP1;ARL13B;BMP2;BMP6;BMPER;CAT;COL4A3;DLL1;EDN1;EGR1;FGF2;FOXF1;GPC3;HPGD;ID3;ITGA8;KANK2;KCNJ8;LRRK2;MME;MYC;NPNT;OSR1;PECAM1;PLCE1;PODXL;RBP4;ROBO2;SLIT2;SMAD6;SOX17;TCF21;TEK;WFS1;ZBTB16",3.14324610011991e-10,"renal system development","biological_process",534,65,14,3.91362719677326,8.91682634032262e-06,0.000148083008866072,TRUE,9,0.5
"GO:0007507","GO Biological Process","Lower in tumor",14764,772,363,54,18.9810349498781,2.84494497494969,2.76874784249799e-12,"ACVRL1;ADAMTS9;ADGRG6;ANK2;BMP2;BMP5;BMP6;BMPR2;CCM2L;CLDN5;DLC1;DLL1;DZIP1;EDN1;EMP2;FGF2;FLRT3;FOXF1;GATA6;GJA5;GPC3;HEG1;HEY1;KDR;MEIS1;MSX1;MYH11;NDRG4;NEBL;NPY1R;OSR1;PDE2A;PDLIM2;PDLIM3;RAMP2;RBP4;ROBO2;S1PR1;SGCG;SIK1;SLIT2;SLIT3;SMAD6;SORBS2;SOX17;TBX2;TBX3;TBX5;TEK;TGFBR2;TGFBR3;TIE1;TNNC1;TTN","ACVRL1;ADAMTS9;ADGRG6;ANK2;BMP2;BMP5;BMP6;BMPR2;CCM2L;CLDN5;DLC1;DLL1;DZIP1;EDN1;EMP2;FGF2;FLRT3;FOXF1;GATA6;GJA5;GPC3;HEG1;HEY1;KDR;MEIS1;MSX1;MYH11;NDRG4;NEBL;NPY1R;OSR1;PDE2A;PDLIM2;PDLIM3;RAMP2;RBP4;ROBO2;S1PR1;SGCG;SIK1;SLIT2;SLIT3;SMAD6;SORBS2;SOX17;TBX2;TBX3;TBX5;TEK;TGFBR2;TGFBR3;TIE1;TNNC1;TTN",3.31003804570635e-10,"heart development","biological_process",534,100,18,3.27067415730337,7.24941624135407e-06,0.000123328483618158,TRUE,10,0.5
"GO:0003158","GO Biological Process","Lower in tumor",14764,772,83,24,4.34001625575725,5.52993320431987,2.99045862576252e-12,"ACVRL1;BMPR2;CDH5;DLL1;EDN1;GJA5;HEY1;ICAM1;KDR;MYADM;NOTCH4;PDE2A;PDPN;PECAM1;PPP1R16B;RAP1A;RDX;RHOB;ROBO4;S1PR1;SOX17;STARD13;TIE1;TJP2","ACVRL1;BMPR2;CDH5;DLL1;EDN1;GJA5;HEY1;ICAM1;KDR;MYADM;NOTCH4;PDE2A;PDPN;PECAM1;PPP1R16B;RAP1A;RDX;RHOB;ROBO4;S1PR1;SOX17;STARD13;TIE1;TJP2",3.40485074961818e-10,"endothelium development","biological_process",534,39,11,5.12498799577451,5.17989073874831e-06,9.63459677407185e-05,TRUE,11,0.5
"GO:0002040","GO Biological Process","Lower in tumor",14764,772,57,19,2.98049309130317,6.37478411053541,3.48674982387385e-11,"ACVRL1;ADTRP;ANGPT1;BMPER;CCBE1;CDH5;CLEC14A;DLL1;EGR3;FGF2;MMRN2;NR4A1;RAMP2;RECK;RSPO3;SEMA3E;SEMA5A;SLIT2;TEK","ACVRL1;ADTRP;ANGPT1;BMPER;CCBE1;CDH5;CLEC14A;DLL1;EGR3;FGF2;MMRN2;NR4A1;RAMP2;RECK;RSPO3;SEMA3E;SEMA5A;SLIT2;TEK",3.47367451203432e-09,"sprouting angiogenesis","biological_process",534,30,9,5.45112359550562,2.18689295686093e-05,0.000324544220725638,TRUE,12,0.5
"R-HSA-9734767","Reactome","Lower in tumor",10355,552,170,27,9.06228874939643,2.97937979539642,2.95617221099017e-07,"1440;1524;216;2247;2252;2627;28514;301;306;3553;3569;358;374;3909;3910;4311;4629;5319;6279;6280;6347;64321;6590;728;760;9429;948","ABCG2;ALDH1A1;ANXA1;ANXA3;AQP1;AREG;C5AR1;CA2;CCL2;CD36;CSF3;CX3CR1;DLL1;FGF2;FGF7;GATA6;IL1B;IL6;LAMA3;LAMA4;MME;MYH11;PLA2G1B;S100A8;S100A9;SLPI;SOX17",0.000146921758886211,"Developmental Cell Lineages","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,1,0.5
"R-HSA-500792","Reactome","Lower in tumor",10355,552,433,48,23.0821825205215,2.07952605683302,9.68706326343976e-07,"10203;10266;10268;133;148;1524;153;154;1604;185;186;1901;1906;1910;2015;2357;2358;2532;2791;2920;2921;301;3579;4886;5028;51554;53829;54331;5473;57007;5734;59350;60675;6347;6351;6366;6368;6374;6376;6387;6751;728;7433;7482;8322;8843;976;9934","ACKR1;ACKR3;ACKR4;ADGRE1;ADGRE5;ADM;ADRA1A;ADRB1;ADRB2;AGTR1;AGTR2;ANXA1;C5AR1;CALCRL;CCL2;CCL21;CCL23;CCL4;CD55;CX3CL1;CX3CR1;CXCL12;CXCL2;CXCL3;CXCL5;CXCR2;EDN1;EDNRB;FPR1;FPR2;FZD4;GNG11;GNG2;HCAR3;NPY1R;P2RY1;P2RY13;P2RY14;PPBP;PROK2;PTGER4;RAMP2;RAMP3;RXFP1;S1PR1;SSTR1;VIPR1;WNT2B",0.000240723522096478,"GPCR ligand binding","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,2,0.5
"R-HSA-9968734","Reactome","Lower in tumor",10355,552,24,9,1.27938194109126,7.03464673913043,2.071763128664e-06,"1440;1524;3553;3569;6279;6280;6347;728;948","C5AR1;CCL2;CD36;CSF3;CX3CR1;IL1B;IL6;S100A8;S100A9",0.000257416568736502,"Differentiation of Circulating Monocytes","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,3,0.5
