probe_id,primary_mean_log2_fold_change,primary_t_statistic,primary_p_value,primary_fdr,primary_significant,sensitivity_mean_log2_fold_change,sensitivity_t_statistic,sensitivity_p_value,sensitivity_fdr,sensitivity_significant,robust,direction,gene_symbol,gene_id,gene_title
224140_at,0.11174000000000003,2.8732519810565798,0.0056386566049651055,0.013221268971458406,False,0.12028924528301889,3.3489193751923643,0.0015151365572698612,0.003914753143458706,False,False,Higher in tumor,NPCDR1,246734,"nasopharyngeal carcinoma, down-regulated 1"
224141_at,0.100207,2.94298677283325,0.00464141956427481,0.011140018203543689,False,0.11086301886792453,3.3237092283533256,0.0016324021820471014,0.004177076300062024,False,False,Higher in tumor,GCC2-AS1,644903,GCC2 antisense RNA 1
224142_s_at,0.03787350000000004,1.4595445147964219,0.14971945828092187,0.22148627889037592,False,0.039895283018867966,1.4135304044482226,0.1634585653904987,0.234090236856973,False,False,Higher in tumor,TTTY8B///TTTY8,100101118///84673,"testis-specific transcript, Y-linked 8B (non-protein coding)///testis-specific transcript, Y-linked 8 (non-protein coding)"
224143_at,0.11711616666666665,3.354509214348176,0.0013941599794680842,0.0038462860468976437,False,0.11269584905660375,2.8964251959308873,0.005509737311906349,0.012321358236675514,False,False,Higher in tumor,TTTY8B///TTTY8,100101118///84673,"testis-specific transcript, Y-linked 8B (non-protein coding)///testis-specific transcript, Y-linked 8 (non-protein coding)"
224144_at,0.07727033333333337,2.2490837992070323,0.028253793828435788,0.05368093190984907,False,0.08109905660377363,2.152310688381792,0.0360353429081764,0.06405385004403735,False,False,Higher in tumor,SPTBN4,57731,"spectrin beta, non-erythrocytic 4"
224145_s_at,0.1367201666666667,4.373726436129491,5.0415019004662215e-05,0.0002008921480999859,False,0.1237056603773585,3.8744735148676472,0.000300899781903079,0.0009213504841696114,False,False,Higher in tumor,SPTBN4,57731,"spectrin beta, non-erythrocytic 4"
224146_s_at,0.02295566666666673,0.7287877425521787,0.46901458287410835,0.5629843096147419,False,0.031003773584905758,1.0881140669674725,0.2815623983663337,0.36888776312372507,False,False,Higher in tumor,ABCC11,85320,ATP binding cassette subfamily C member 11
224147_at,0.10546050000000008,4.861563896159639,8.99536164442669e-06,4.266690360970151e-05,False,0.11324754716981138,4.936415788031177,8.5996474318649e-06,3.7690238343664405e-05,False,False,Higher in tumor,PARPBP,55010,PARP1 binding protein
224148_at,-0.024590333333333308,-0.6266476052595551,0.5333075400640059,0.6234597650794228,False,-0.03958150943396224,-0.9444919293801816,0.3492863350160917,0.44067819750334164,False,False,Lower in tumor,FYB,2533,FYN binding protein
224149_x_at,-0.3767130000000002,-3.6161125918791575,0.0006206295699662457,0.0018750578404102601,False,-0.36469188679245296,-3.250632499935288,0.002022768789546778,0.005053225055673494,False,False,Lower in tumor,SLMAP,7871,sarcolemma associated protein
224150_s_at,0.33525233333333315,3.1234917753667935,0.002769343954974779,0.00705168967670669,False,0.3015950943396226,2.8573813639570322,0.006128772918159256,0.013552706139549337,False,False,Higher in tumor,CEP70,80321,centrosomal protein 70
224151_s_at,-0.2831411666666667,-5.037699511581561,4.749154376998074e-06,2.390315893973761e-05,False,-0.29144886792452834,-5.197789588355459,3.4348471422155697e-06,1.6400337743484085e-05,False,False,Lower in tumor,AK3,50808,adenylate kinase 3
224152_s_at,-0.03824483333333337,-0.6848833385241124,0.49609943694921854,0.5888125019580281,False,-0.032970188679245296,-0.5534857684685135,0.5823029543386293,0.663017014691363,False,False,Lower in tumor,PBRM1,55193,polybromo 1
224153_s_at,0.07858149999999993,3.0049543612794825,0.0038952794488612864,0.009523942575194117,False,0.06340943396226408,2.2789839635804783,0.026802763859066644,0.04954161981049591,False,False,Higher in tumor,DHRS4-AS1,55449,DHRS4 antisense RNA 1
224154_at,-0.0486315,-2.288731451371318,0.02569225050848805,0.04942381945505539,False,-0.05715264150943397,-2.6219824424433034,0.011439953670136003,0.023523993640779495,False,False,Lower in tumor,B3GNT2,10678,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
224156_x_at,0.5036875,4.261891212003469,7.404784539896954e-05,0.00028293842666773776,False,0.5037783018867925,3.969672492189515,0.0002219161771904967,0.0007015104908108423,False,False,Higher in tumor,IL17RB,55540,interleukin 17 receptor B
224157_at,0.10057066666666672,3.38408111310348,0.0012743922591674066,0.003549717090528196,False,0.11591283018867928,3.7019768621001155,0.0005179182027368301,0.0015014410251662875,False,False,Higher in tumor,KAAG1,353219,kidney associated antigen 1
224158_s_at,0.026188500000000028,0.6810117724582366,0.49852824706780297,0.5911947057462775,False,0.006116037735849072,0.15257529731708086,0.8793236975806975,0.9101876746980299,False,False,Higher in tumor,TRIQK,286144,triple QxxK/R motif containing
224159_x_at,0.04634033333333335,1.2102812434470656,0.23099748149559823,0.31734728631518755,False,0.03676056603773585,0.9820942576594347,0.3306008751715851,0.42128380296476986,False,False,Higher in tumor,TRIM4,89122,tripartite motif containing 4
224160_s_at,0.06779633333333329,1.5544142645913217,0.1254338701315624,0.1907835660679104,False,0.08679773584905655,1.90887678548502,0.061803918973606715,0.10214095668113372,False,False,Higher in tumor,ACAD9,28976,acyl-CoA dehydrogenase family member 9
224162_s_at,-0.02162233333333338,-0.3264794307044156,0.7452169778356301,0.8066733926268055,False,-0.009910000000000026,-0.14859037358056157,0.8824516094911193,0.9126996528560043,False,False,Lower in tumor,FBXO31,79791,F-box protein 31
224163_s_at,0.031473666666666636,0.5340673200302765,0.5953016261374038,0.6790902461779414,False,0.050510566037735766,0.8452679335809067,0.4018338694352934,0.49362511933528064,False,False,Higher in tumor,DMAP1,55929,DNA methyltransferase 1 associated protein 1
224164_at,-0.01555816666666668,-0.2887666485095436,0.77377212114222,0.8301314821233224,False,-0.03386471698113206,-0.6586396974205978,0.5130330673174588,0.5998478028224212,False,False,Lower in tumor,TPM3,7170,tropomyosin 3
224165_s_at,-0.1095001666666666,-1.778866105729573,0.08041336757760095,0.131312372985644,False,-0.12127264150943394,-1.7625553515911265,0.08385213582522234,0.13261065388881266,False,False,Lower in tumor,IQCH,64799,IQ motif containing H
224166_at,-0.022583833333333424,-0.7289138226825284,0.46893802979315724,0.5629171356827205,False,-0.008437358490566161,-0.2582566484294694,0.7972282858621864,0.845895578986873,False,False,Lower in tumor,SLC25A2,83884,solute carrier family 25 member 2
224167_at,-0.012842333333333355,-0.6183494764483638,0.5387248965495594,0.6283025611007241,False,-0.02087339622641511,-0.9234419043620512,0.3600422310255313,0.45146684818294436,False,False,Lower in tumor,SPZ1,84654,spermatogenic leucine zipper 1
224168_at,-0.008865000000000064,-0.23748764202988856,0.8131012623062713,0.8614896425973837,False,0.022233207547169755,0.7518164587790742,0.45555096884880136,0.5461277703380668,False,False,Lower in tumor,TXNDC2,84203,thioredoxin domain containing 2
224169_at,0.13689266666666677,2.1201470936237863,0.03820907036282615,0.06969201446680656,False,0.1558258490566039,2.3203482155932726,0.024279849311833464,0.045423464880222225,False,False,Higher in tumor,NPFFR2,10886,neuropeptide FF receptor 2
224170_s_at,0.025508333333333334,0.9174026443633245,0.36266671574146203,0.4582469248033195,False,0.022527735849056606,0.7393511143284736,0.4630184792810076,0.5532482922044034,False,False,Higher in tumor,TULP4,56995,tubby like protein 4
224171_at,0.08527250000000004,2.6882961383727766,0.009319932312890097,0.020542098653844473,False,0.09606056603773588,2.740283505051279,0.008392537935903338,0.017907509040177762,False,False,Higher in tumor,LSM14B,149986,LSM family member 14B
224172_at,0.07209816666666666,1.9921985418723933,0.05098307621356369,0.08921711983025844,False,0.08741999999999998,2.210378445652072,0.03150313003419141,0.05697385666245751,False,False,Higher in tumor,,,
224173_s_at,0.3066784999999999,3.2085674175429606,0.0021578096150800165,0.005657886087881254,False,0.33621377358490556,3.3881533462330187,0.0013483879463063863,0.003527492670453349,False,False,Higher in tumor,MRPL30,51263,mitochondrial ribosomal protein L30
224174_at,-0.037244833333333324,-1.4256431804639729,0.15924082295378875,0.2331929503695736,False,-0.02984547169811319,-1.044004928478091,0.30131236119811455,0.39035739991249235,False,False,Lower in tumor,TTTY11,83866,"testis-specific transcript, Y-linked 11 (non-protein coding)"
224175_s_at,-0.04341000000000007,-0.7257116621186604,0.47088450652126107,0.5648568506121229,False,-0.02299905660377361,-0.356405796222277,0.7229787793957074,0.784957003126818,False,False,Lower in tumor,TRIM6-TRIM34///TRIM34,445372///53840,TRIM6-TRIM34 readthrough///tripartite motif containing 34
224176_s_at,-0.030196166666666815,-0.3889826440872352,0.6986893286436628,0.7687058867812107,False,-0.060092452830188825,-0.7252134281390771,0.4715721987514432,0.5615788893259966,False,False,Lower in tumor,AXIN2,8313,axin 2
224177_s_at,0.11537866666666667,1.457495571876225,0.1502819782225516,0.22215711943958344,False,0.1479905660377358,2.019120672640159,0.048643728008198134,0.08310977247111756,False,False,Higher in tumor,PBDC1,51260,polysaccharide biosynthesis domain containing 1
224178_s_at,0.09608433333333331,2.384070070823367,0.020357436336082124,0.04035249362561324,False,0.09600169811320754,2.322139820461615,0.024175524028840864,0.04524531992458664,False,False,Higher in tumor,SOX6,55553,SRY-box 6
224179_s_at,0.3263998333333334,5.611504379637999,5.649140568033106e-07,3.5006999949814134e-06,False,0.3669364150943397,6.420992482373053,4.141309249804814e-08,2.991492710174108e-07,False,False,Higher in tumor,MIOX,55586,myo-inositol oxygenase
224180_x_at,-0.11419700000000005,-2.0818565478823605,0.04170238523136193,0.07512365037477228,False,-0.13977320754716976,-3.330153972435803,0.0016016323271614778,0.004107760929146908,False,False,Lower in tumor,WDPCP,51057,WD repeat containing planar cell polarity effector
224181_at,0.05954550000000003,2.251222428407236,0.028110066468831952,0.053445000667085824,False,0.07477962264150945,2.570769770022078,0.013048995037743502,0.02644255454217374,False,False,Higher in tumor,LINC00470,56651,long intergenic non-protein coding RNA 470
224182_x_at,0.1305684999999999,3.4292032401484347,0.0011102445276638556,0.0031476598159202126,False,0.12260528301886783,3.405886217492146,0.0012788762373623728,0.00336862544094945,False,False,Higher in tumor,SEMA6B,10501,semaphorin 6B
224183_at,0.05445900000000005,2.741113595726896,0.008090723089502072,0.01815630786892652,False,0.07465660377358498,3.9694470877796872,0.0002220770745818219,0.0007018816565169423,False,False,Higher in tumor,,,
224184_s_at,-0.11850116666666659,-1.8997534151090536,0.0623565651144847,0.10582770044805223,False,-0.1134662264150943,-1.6326449993073666,0.10858530732442317,0.16547932318652164,False,False,Lower in tumor,BOC,91653,"BOC cell adhesion associated, oncogene regulated"
224185_at,0.33699283333333335,4.394089779805141,4.698511669323944e-05,0.00018844712846265157,False,0.34389830188679255,4.209548090751021,0.00010161018900322255,0.00034854991428265216,False,False,Higher in tumor,,,
224186_s_at,-0.11953616666666668,-4.016523732726756,0.0001693999647962764,0.0005921958488002821,False,-0.08565735849056605,-2.935884594271928,0.004943515227080702,0.011188752537179176,False,False,Lower in tumor,RNF123,63891,ring finger protein 123
224187_x_at,-0.04028666666666674,-0.5623934384223046,0.5759786427805197,0.6625597422217341,False,0.01901698113207536,0.4133738114525612,0.6810325687548111,0.7491670357510731,False,False,Lower in tumor,SNORD14D///SNORD14C///HSPA8,85390///85389///3312,"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
224188_s_at,0.21394250000000004,4.9245559100319785,7.1648083632437815e-06,3.469145388419711e-05,False,0.17486226415094341,4.176390835492693,0.00011332440822628072,0.0003845827086941778,False,False,Higher in tumor,XPNPEP3,63929,X-prolyl aminopeptidase 3
224189_x_at,0.7242361666666667,5.299076276934813,1.815774061237162e-06,1.0028024929105236e-05,False,0.6572720754716981,4.654320694622045,2.278697237012107e-05,9.075449550818542e-05,False,False,Higher in tumor,EHF,26298,ETS homologous factor
